ID,Name,Hill,Area,Grade,Grid Ref,Page
1,South East Ridge - Daear Ddu,Moel Siabod,Mymbyr Valley,1-,SH 713 546,21
2,Llech Ddu Spur (Crib Lem),Carnedd Dafydd,Carneddau,1,SH 665 635,25
3,Little Tryfan Arete,Tryfan Bach,Ogwen Valley,3,SH 671 601,29
4,South Rib Scramble,Tryfan East Face,Ogwen Valley,3,SH 664 592,41
5,South Gully,Tryfan East Face,Ogwen Valley,3-,SH 665 593,43
6,Pinnacle Scramble,Tryfan East Face,Ogwen Valley,3+,SH 665 593.33,47
7,Little and North Gullies,Tryfan East Face,Ogwen Valley,1,SH 665 593.66,51
8,North Buttress Scramble,Tryfan East Face,Ogwen Valley,2-,SH 665 594,53
9,Nor' Nor' Grooves,Tryfan East Face,Ogwen Valley,1+,SH 665 595,57
10,Nor' Nor' Buttress Scramble,Tryfan East Face,Ogwen Valley,3+,SH 665 595.5,59
11,Bastow Buttress Scramble,Tryfan East Face,Ogwen Valley,2,SH 665 596,63
12,North Ridge,Tryfan,Ogwen Valley,1,SH 666 601,67
13,Milestone Buttress Scramble,Tryfan West Face,Ogwen Valley,3,SH 663 601,71
14,Milestone Gully,Tryfan West Face,Ogwen Valley,2-,SH 663 600,73
15,Wrinkled Tower,Tryfan West Face,Ogwen Valley,3,SH 662 598,75
16,West Face Direct,Tryfan West Face,Ogwen Valley,2+,SH 662 595,79
17,South Ridge,Tryfan,Ogwen Valley,1-,SH 663 592,83
18,Bristly Ridge,Glyder Fach Main Cliff,Ogwen Valley,1,SH 661 587,93
19,Chasm Face Route,Glyder Fach Main Cliff,Ogwen Valley,3+,SH 657 586,97
20,Main Gully,Glyder Fach Main Cliff,Ogwen Valley,1+,SH 656 586,99
21,East Gully Ridge,Glyder Fach Main Cliff,Ogwen Valley,3+,SH 655 584,103
22,Hawks Nest Buttress Scramble,Glyder Fach Main Cliff,Ogwen Valley,3+,SH 655 583,105
23,Dolmen Ridge,Glyder Fach Main Cliff,Ogwen Valley,3,SH 654 585,109
24,Y Gribin,Glyder Fawr,Ogwen Valley,1,SH 651 585,113
25,Y Gribin - True Start,Cwm Bochlwyd,Ogwen Valley,1-,SH 653 590,115
26,Cneifion Arete,Cwm Cneifion,Ogwen Valley,3,SH 649 587,123
27,Tower Rib,Cwm Cneifion,Ogwen Valley,2,SH 648 582,127
28,Seniors Gully,Cwm Idwal,Ogwen Valley,1-,SH 646 589,129
29,Seniors Direct Approach,Cwm Idwal,Ogwen Valley,2,SH 644 589,133
30,Idwal Staircase,Cwm Idwal,Ogwen Valley,2+,SH 645 589,135
31,Idwal Buttress & Continuation,Cwm Idwal,Ogwen Valley,2,SH 643 589,137
32,East Arete,Cwm Idwal,Ogwen Valley,3+,SH 643 585,141
33,East Ridge of Y Garn,Cwm Idwal,Ogwen Valley,2,SH 642 597,145
34,Pinnacle Ridge,"Braich Ty Du, Pen yr Ole Wen",Nant Ffrancon,2,SH 649 611,149
35,South Arete,Foel Goch,Nant Ffrancon,1+,SH 635 611,151
36,North Arete,Foel Goch,Nant Ffrancon,2+,SH 635 612,155
37,Atlantic Ridge,Carnedd y Filiast,Nant Ffrancon,3,SH 623 627,159
38,Bryants Gully,Glyder Fawr,Llanberis Pass,3-,SH 626 571,163
39,Jammed Boulder Gully,Dinas Mot,Llanberis Pass,3+,SH 625 563,167
40,East Ridge,Crib Goch,Snowdon Group,1,SH 628 552,175
41,North Ridge,Crib Goch,Snowdon Group,1,SH 625 557,179
42,Main Ridge Traverse,Crib Goch,Snowdon Group,1,SH 626 553,183
43,Crib y Ddysgl,Garnedd Ugain,Snowdon Group,1,SH 621 551,187
44,Clogwyn y Person Arete,Crib y Ddysgl,Snowdon Group,3,SH 616 555,191
45,Cwm Glas Spur,Crib y Ddysgl,Llanberis Pass,1-,SH 616 566,195
46,Llechog Buttress,Crib y Ddysgl,Llanberis Pass,2,SH 608 569,199
47,Y Gribin,Snowdon,Snowdon Group,1,SH 619 545,203
48,Lliwedd Traverse,Lliwedd,Snowdon Group,1-,SH 619 537,207
49,Bilberry Terrace Scramble,Lliwedd,Snowdon Group,3+,SH 624 534,211
50,Sentries Ridge,Mynydd Mawr,Nantlle,2+,SH 546 540,215
